epoch,fit/loss,fit/pred_loss,fit/sigreg_loss,step,validate/loss_epoch,validate/loss_step,validate/pred_loss_epoch,validate/pred_loss_step,validate/sigreg_loss_epoch,validate/sigreg_loss_step
0,3.391791582107544,0.31366655230522156,34.25,49,,,,,,
0,2.556903600692749,0.36940354108810425,24.375,99,,,,,,
0,2.0528769493103027,0.33412694931030273,19.125,149,,,,,,
0,1.8256659507751465,0.23972851037979126,17.625,199,,,,,,
0,1.4681384563446045,0.1556384563446045,14.5625,249,,,,,,
0,1.309343695640564,0.09059374034404755,13.5,299,,,,,,
0,1.1433446407318115,0.06521964818239212,12.0,349,,,,,,
0,1.1047452688217163,0.0578702948987484,11.625,399,,,,,,
0,0.9279497861862183,0.045137301087379456,9.8125,449,,,,,,
0,0.9245824813842773,0.04176996275782585,9.8125,499,,,,,,
0,0.8386350870132446,0.033947575837373734,8.9375,549,,,,,,
0,0.8254755139350891,0.03250677138566971,8.8125,599,,,,,,
0,0.7384361028671265,0.027498606592416763,7.90625,649,,,,,,
0,0.7380979061126709,0.031066633760929108,7.84375,699,,,,,,
0,0.6990320086479187,0.031063266098499298,7.40625,749,,,,,,
0,0.669698178768158,0.03688568249344826,7.03125,799,,,,,,
0,0.6300230026245117,0.036273010075092316,6.59375,849,,,,,,
0,0.6470421552658081,0.029854685068130493,6.84375,899,,,,,,
0,0.5996139645576477,0.0332077294588089,6.28125,949,,,,,,
0,0.552358865737915,0.032827604562044144,5.78125,999,,,,,,
0,0.5514225959777832,0.03579762205481529,5.75,1049,,,,,,
0,0.5089113712310791,0.03430197387933731,5.28125,1099,,,,,,
0,0.4729066789150238,0.0334535576403141,4.875,1149,,,,,,
0,0.4852924942970276,0.030214382335543633,5.0625,1199,,,,,,
0,0.4795944392681122,0.030375679954886436,5.0,1249,,,,,,
0,0.4509955644607544,0.031073693186044693,4.65625,1299,,,,,,
0,0.4632747769355774,0.033587269484996796,4.78125,1349,,,,,,
0,0.41269752383232117,0.027931902557611465,4.28125,1399,,,,,,
0,0.3961610198020935,0.036786019802093506,4.0,1449,,,,,,
0,0.39280134439468384,0.035379454493522644,3.96875,1499,,,,,,
0,0.3641084134578705,0.030124038457870483,3.703125,1549,,,,,,
0,0.3653383255004883,0.037213314324617386,3.65625,1599,,,,,,
0,0.35447558760643005,0.0302568506449461,3.59375,1649,,,,,,
0,0.39197060465812683,0.042361218482255936,3.875,1699,,,,,,
0,0.3560134470462799,0.0317947082221508,3.59375,1749,,,,,,
0,0.3507051467895508,0.036252036690711975,3.5,1799,,,,,,
0,0.3243008852005005,0.03328524902462959,3.234375,1849,,,,,,
,,,,0,,0.5269488096237183,,0.03671444207429886,,5.4375
,,,,1,,0.4478156268596649,,0.033753130584955215,,4.59375
,,,,2,,0.5164133906364441,,0.032038405537605286,,5.375
,,,,3,,0.4841577410697937,,0.038845255970954895,,4.9375
,,,,4,,0.47871455550193787,,0.03340204432606697,,4.9375
,,,,5,,0.46863603591918945,,0.035042278468608856,,4.8125
